Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,86.94,15.27,-82.44
AUC for Cl (0-inf),mM*sec,556.81,91.28,-83.61
Biliary excretion rate,mL/min/100cm3,3.17,0.14,-95.6
Biliary tissue excretion rate,mL/min/100cm3,3.71,0.17,-95.51
Extracellular dispersion,%,83.64,70.3,-15.95
Extracellular mean transit time,sec,55.79,40.23,-27.89
Hematocrit,%,45.0,45.0,0.0
Hepatocellular mean transit time,min,26.97,600.0,2124.95
Hepatocellular tissue uptake rate,mL/min/100cm3,280.61,18.06,-93.56
Hepatocellular uptake rate,mL/min/100cm3,40.52,2.95,-92.73
Liver T1-MOLLI at 45min,sec,0.58,0.72,23.26
Liver T1-MOLLI at baseline,sec,0.76,0.81,7.72
Liver blood clearance,L/min,0.28,0.02,-91.46
Liver extracellular volume fraction,mL/100cm3,14.44,16.32,13.0
RE for R1l at 20min,%,34.57,6.08,-82.41
RE for Sl at 20min,%,28.34,6.65,-76.52
